Miasto;Liczba ośrodków
Rydułtowy;1
Rzeszów;1
Sandomierz;2
Siedlce;8
Siedlec;1
Sieradz;3
Skała;1
Skierniewice;1
Skoczów;1
Skórzewo;1
Słomniki;1
Słubice;2
Słupno;1
Słupsk;4
Sochaczew;1
Sokołów Podlaski;1
Sopot;1
Sosnowiec;3
Śrem;2
Stanisławów Pierwszy;1
Starachowice;1
Stargard;8
Staszów;2
Strzelce Opolskie;1
Sucha Beskidzka;1
Sulęcin;1
Sulnowo;1
Susz;1
Suwałki;6
Szczecin;27
Szczecinek;1
Szczekociny;1
Szumowo;1
Świdnica;2
Świdnik;2
Świdwin;1
Świecie;4
Świętochłowice;1
Świnoujście;1
Tarnowskie Góry;1
Tarnów;4
Tczew;1
Tomaszów Lubelski;2
Tomaszów Mazowiecki;3
Toruń;3
Tuchola;1
Tulce k/Poznania;1
Turek;5
Tychy;1
Ulan-Majorat;1
Ursus;2
Ursus-Pruszków;1
Ustka;2
Wadowice;1
Wałbrzych;1
Warka;3
Warta;1
Warszawa;70
Warszawa-Białołęka;2
Warszawa-Bielany;3
Warszawa-Bródno;2
Warszawa-Międzylesie;1
Warszawa-Ochota;2
Warszawa-Praga Płd.;1
Warszawa-Rembertów;1
Warszawa-Saska Kępa;1
Warszawa-Stare Babice;2
Warszawa-Śródmieście;2
Warszawa-Tarchomin;1
Warszawa-Targówka;2
Warszawa-Ursus;1
Warszawa-Ursynów;2
Warszawa-Wesoła;3
Warszawa-Wilanów;2
Warszawa-Włochy;2
Warszawa-Żoliborz;1
Wąsosz Górny (Gmina Popów);1
Węgorzewo;1
Węgrów;2
Wieliczka;1
Wielun;1
Wieruszów;2
Wierzchosławice;1
Witnica;1
Włocławek;3
Wodzisław Śląski;1
Wojnicz;1
Wołomin;1
Wolsztyn;1
Wólka Radzymińska;1
Wrocław;6
Wyszków;4
Ząbki;5
Zabrze;1
Zakopane;1
Zalesie Górne;1
Zamość;4
Zawiercie;1
Zduńska Wola;4
Zgierz;2
Zgorzelec;2
Zielona Góra;4
Zielonka;1
Żary;1
Żory;1
Żuromin;1
Żyrardów;1
Żywiec;3
Islandia;1
Wielka Brytania;1
